starttime,benchmarkID,format,dataset,triplestore,noclients,queryID,qps,succeeded,failed,totaltime,resultsize,penalizedtime
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,24,690.537084398977,6480,0,9384,5,9384
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,134,632.8384450087908,6479,0,10238,10,10238
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,17,657.6997259161506,6479,0,9851,14,9851
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,143,623.2929409501827,6481,0,10398,20,10398
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,6,730.3358124859138,6481,0,8874,1,8874
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,63,660.9892911779705,6481,0,9805,6,9805
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,110,557.6592082616179,6480,0,11620,28,11620
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,76,597.6396828323806,6482,0,10846,16,10846
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,169,731.3769751693003,6480,0,8860,2,8860
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,101,735.1940095302928,6480,0,8814,1,8814
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,69,178.82275022766785,6480,0,36237,337,36237
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,170,637.517214243557,6481,0,10166,7,10166
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,40,414.7730909556423,6480,0,15623,59,15623
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,55,322.9504111637179,6480,0,20065,104,20065
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,50,675.8448060075094,6480,0,9588,5,9588
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,77,655.6365108277677,6479,0,9882,15,9882
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,144,707.3783016808557,6481,0,9162,5,9162
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,45,667.4907292954265,6480,0,9708,5,9708
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,155,740.009134505595,6481,0,8758,0,8758
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,53,638.7465510445409,6482,0,10148,10,10148
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,97,656.5666801783542,6479,0,9868,7,9868
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,80,436.0907316416504,6479,0,14857,51,14857
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,155,732.5949367088607,6482,0,8848,0,8848
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,10,692.1516284036305,6482,0,9365,7,9365
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,149,642.6658732520083,6480,0,10083,15,10083
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,14,651.6142009453887,6479,0,9943,7,9943
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,172,672.4084258586697,6480,0,9637,5,9637
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,101,735.4977863548644,6479,0,8809,1,8809
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,126,627.8709177245856,6479,0,10319,17,10319
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,15,106.43852936829833,6482,0,60899,623,60899
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,4,649.7894525766994,6481,0,9974,8,9974
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,43,665.2638061999589,6481,0,9742,11,9742
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,81,410.60567663456663,6481,0,15784,62,15784
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,44,18.89637032220061,6480,0,342923,5075,342923
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,74,633.5027365129007,6482,0,10232,16,10232
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,111,734.55740677774,6481,0,8823,1,8823
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,107,672.0580611715915,6482,0,9645,5,9645
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,154,679.3877123086601,6480,0,9538,5,9538
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,54,727.058559569217,6481,0,8914,2,8914
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,172,679.9916063372153,6481,0,9531,5,9531
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,65,457.3484795032809,6482,0,14173,60,14173
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,51,720.4492382964528,6479,0,8993,1,8993
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,51,716.0220994475137,6480,0,9050,1,9050
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,80,435.77673167451246,6480,0,14870,51,14870
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,34,701.8626813948451,6481,0,9234,5,9234
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,119,703.0368763557483,6482,0,9220,4,9220
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,59,671.7098445595855,6482,0,9650,5,9650
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,30,631.9485078993564,6480,0,10254,11,10254
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,139,719.409282700422,6479,0,9006,1,9006
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,115,535.5696934644303,6482,0,12103,27,12103
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,86,690.0958466453674,6480,0,9390,6,9390
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,147,663.0179028132992,6481,0,9775,5,9775
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,111,712.7144742630884,6480,0,9092,1,9092
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,138,462.9894255501572,6480,0,13996,43,13996
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,137,711.0403863037752,6479,0,9112,4,9112
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,106,715.7685512367492,6482,0,9056,4,9056
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,138,462.53746253746255,6482,0,14014,43,14014
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,78,631.1842617841838,6481,0,10268,9,10268
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,47,655.7692307692307,6479,0,9880,9,9880
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,151,624.0369799691833,6480,0,10384,15,10384
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,17,668.7306501547988,6480,0,9690,14,9690
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,114,406.6658297765503,6479,0,15932,62,15932
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,44,18.880680741938775,6479,0,343155,5075,343155
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,35,620.5938697318009,6479,0,10440,19,10440
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,19,673.3167082294264,6480,0,9624,5,9624
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,78,645.6818408207989,6482,0,10039,9,10039
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,45,667.6625115895745,6481,0,9707,5,9707
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,5,665.6394453004623,6480,0,9735,5,9735
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,163,674.6849942726232,6479,0,9603,8,9603
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,164,221.77364171342546,6482,0,29228,248,29228
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,129,713.5152982610609,6483,0,9086,5,9086
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,117,682.962806869666,6482,0,9491,6,9491
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,112,665.9471682598418,6479,0,9729,5,9729
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,20,676.5473332637512,6482,0,9581,5,9581
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,108,658.3358732093874,6480,0,9843,6,9843
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,60,620.8912314326784,6479,0,10435,12,10435
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,163,677.9625562179689,6482,0,9561,8,9561
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,105,721.8447142698005,6480,0,8977,1,8977
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,81,404.3177138578648,6480,0,16027,62,16027
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,153,271.7436886689592,6480,0,23846,138,23846
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,81,404.190309908337,6482,0,16037,62,16037
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,9,672.1991701244813,6480,0,9640,9,9640
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,129,684.0105540897098,6481,0,9475,5,9475
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,78,627.141612622205,6479,0,10331,9,10331
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,72,483.8757838160645,6482,0,13396,38,13396
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,150,339.1063206362495,6481,0,19112,95,19112
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,52,399.34664694280076,6479,0,16224,95,16224
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,127,536.5126676602086,6480,0,12078,34,12078
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,33,728.6420863309352,6482,0,8896,1,8896
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,65,472.64770240700216,6480,0,13710,60,13710
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,62,658.7027246848312,6479,0,9836,14,9836
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,39,617.2157684250618,6482,0,10502,13,10502
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,149,633.838630806846,6481,0,10225,15,10225
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,26,606.9488668289941,6481,0,10678,13,10678
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,56,329.26891225931007,6481,0,19683,104,19683
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,103,646.5835411471321,6482,0,10025,8,10025
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,101,733.8390127929356,6482,0,8833,1,8833
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,65,465.7898519476786,6481,0,13914,60,13914
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,74,633.9888464925154,6480,0,10221,16,10221
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,57,455.67662565905096,6482,0,14225,44,14225
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,3,695.610174949018,6481,0,9317,2,9317
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,138,464.1220280721856,6481,0,13964,43,13964
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,146,722.711562047051,6482,0,8969,2,8969
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,142,683.3614508646141,6481,0,9484,7,9484
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,125,17.15959562786534,6479,0,377573,11114,377573
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,98,346.0244566668447,6480,0,18727,88,18727
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,96,681.135049921177,6481,0,9515,6,9515
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,148,647.0940683043739,6480,0,10014,8,10014
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,98,344.0369407143994,6482,0,18841,88,18841
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,61,623.4128510965755,6481,0,10396,12,10396
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,119,706.6841129647803,6481,0,9171,4,9171
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,113,272.37566738134274,6479,0,23787,166,23787
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,140,731.4292165274328,6479,0,8858,1,8858
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,34,690.3088391906283,6482,0,9390,5,9390
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,165,656.5001519910832,6479,0,9869,7,9869
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,21,639.49472022106,6480,0,10133,21,10133
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,66,561.1467174779144,6479,0,11546,22,11546
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,113,273.1335103916361,6479,0,23721,166,23721
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,54,709.5926412614981,6480,0,9132,2,9132
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,80,434.06335811399106,6481,0,14931,51,14931
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,12,619.0885640584695,6480,0,10467,15,10467
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,76,597.2350230414746,6480,0,10850,16,10850
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,66,567.326212572229,6480,0,11422,22,11422
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,98,341.87898929155455,6481,0,18957,88,18957
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,145,679.3837123991195,6482,0,9541,7,9541
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,116,397.59553456419064,6482,0,16303,78,16303
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,17,663.152507676561,6479,0,9770,14,9770
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,21,637.3204800314775,6479,0,10166,21,10166
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,107,671.4330121230961,6480,0,9651,5,9651
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,6,718.7222715173026,6480,0,9016,1,9016
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,8,747.1184877823882,6482,0,8676,0,8676
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,115,544.2633966067528,6480,0,11906,27,11906
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,93,659.97758989508,6479,0,9817,7,9817
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,38,644.8467966573817,6482,0,10052,17,10052
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,139,733.2579185520362,6482,0,8840,1,8840
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,64,675.5601875977071,6482,0,9595,5,9595
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,100,588.3100381194408,6482,0,11018,35,11018
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,142,679.1740907661671,6480,0,9541,7,9541
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,127,538.1549447812007,6481,0,12043,34,12043
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,161,302.23341259849866,6482,0,21447,163,21447
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,50,683.6164152336745,6480,0,9479,5,9479
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,82,468.3141845509068,6481,0,13839,39,13839
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,158,439.7557666214383,6482,0,14740,61,14740
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,152,648.553987791454,6481,0,9993,7,9993
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,91,661.3248953761355,6479,0,9797,7,9797
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,144,697.4491443332257,6480,0,9291,5,9291
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,172,674.0170584564177,6480,0,9614,5,9614
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,131,694.5754716981132,6479,0,9328,6,9328
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,145,688.4827879303017,6480,0,9412,7,9412
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,58,689.981901415948,6481,0,9393,6,9393
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,169,711.8215776752362,6479,0,9102,2,9102
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,59,682.9679595278246,6480,0,9488,5,9488
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,159,544.0201426772976,6482,0,11915,27,11915
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,104,731.3028764805414,6483,0,8865,1,8865
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,14,663.9344262295082,6480,0,9760,7,9760
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,155,744.9988503104162,6480,0,8698,0,8698
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,8,748.4407484407485,6480,0,8658,0,8658
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,75,739.8652506566176,6479,0,8757,1,8757
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,116,396.9245849414936,6479,0,16323,78,16323
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,74,646.4837905236908,6481,0,10025,16,10025
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,63,662.2381195707716,6480,0,9785,6,9785
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,165,663.2214490380679,6481,0,9772,7,9772
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,2,475.91069330199764,6480,0,13616,40,13616
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,157,638.0549266660104,6482,0,10159,12,10159
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,157,635.2318400156847,6480,0,10201,12,10201
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,97,659.2087867385335,6482,0,9833,7,9833
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,72,479.9614786280465,6479,0,13499,38,13499
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,63,662.8489620615605,6482,0,9779,6,9779
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,61,627.785312923852,6480,0,10322,12,10322
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,48,648.6134748223045,6479,0,9989,5,9989
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,98,345.69416284281294,6479,0,18742,88,18742
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,93,646.964856230032,6480,0,10016,7,10016
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,87,239.46629213483146,6479,0,27056,214,27056
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,106,718.5144124168514,6481,0,9020,4,9020
